### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
     10.61 |          49.00 |  2.08595 |    0.00922
     10.61 |          50.00 |  2.08902 |    0.00892
     10.61 |          51.00 |  2.08916 |    0.00880
     10.61 |          52.00 |  2.08793 |    0.00850
     10.61 |          53.00 |  2.09180 |    0.00803
     10.61 |          54.00 |  2.09357 |    0.00855
     11.61 |          45.00 |  2.10331 |    0.01077
     11.61 |          46.00 |  2.10153 |    0.01050
     11.61 |          47.00 |  2.10168 |    0.01047
     11.61 |          48.00 |  2.10021 |    0.01001
     11.61 |          49.00 |  2.09471 |    0.01040
     11.61 |          50.00 |  2.09666 |    0.01124
     11.61 |          51.00 |  2.09813 |    0.01191
     11.61 |          52.00 |  2.09481 |    0.01185
     11.61 |          53.00 |  2.09119 |    0.01179
     11.61 |          54.00 |  2.08990 |    0.01159
     12.61 |          45.00 |  2.08739 |    0.01044
     12.61 |          46.00 |  2.08607 |    0.01002
     12.61 |          47.00 |  2.08651 |    0.01071
     12.61 |          48.00 |  2.08585 |    0.01102
     12.61 |          49.00 |  2.08425 |    0.01128
     12.61 |          50.00 |  2.08471 |    0.01172
     12.61 |          51.00 |  2.08520 |    0.01249
     12.61 |          52.00 |  2.08981 |    0.01273
     12.61 |          53.00 |  2.08989 |    0.01256
     12.61 |          54.00 |  2.08755 |    0.01209

### TBR Summary Statistics:
Maximum TBR for LiPb: 2.10331
Optimal breeder width: 11.61 cm
Optimal lithium enrichment: 45.00 %

Mean TBR: 1.97550
Median TBR: 2.03573
