### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
     16.17 |          29.00 |  1.85398 |    0.01063
     16.17 |          30.00 |  1.85350 |    0.01090
     16.17 |          31.00 |  1.85083 |    0.01066
     16.17 |          32.00 |  1.85358 |    0.01097
     16.17 |          33.00 |  1.85422 |    0.01118
     16.17 |          34.00 |  1.85758 |    0.01088
     17.17 |          25.00 |  1.83380 |    0.00931
     17.17 |          26.00 |  1.83739 |    0.00917
     17.17 |          27.00 |  1.83748 |    0.00996
     17.17 |          28.00 |  1.83561 |    0.01065
     17.17 |          29.00 |  1.83613 |    0.01079
     17.17 |          30.00 |  1.83403 |    0.01061
     17.17 |          31.00 |  1.83547 |    0.01036
     17.17 |          32.00 |  1.83604 |    0.01063
     17.17 |          33.00 |  1.83225 |    0.01017
     17.17 |          34.00 |  1.83182 |    0.01042
     18.17 |          25.00 |  1.81876 |    0.01007
     18.17 |          26.00 |  1.81885 |    0.01003
     18.17 |          27.00 |  1.81946 |    0.00974
     18.17 |          28.00 |  1.81843 |    0.01058
     18.17 |          29.00 |  1.82175 |    0.01045
     18.17 |          30.00 |  1.82110 |    0.01003
     18.17 |          31.00 |  1.82124 |    0.01036
     18.17 |          32.00 |  1.81568 |    0.00998
     18.17 |          33.00 |  1.82021 |    0.01042
     18.17 |          34.00 |  1.82232 |    0.01084

### TBR Summary Statistics:
Maximum TBR for Li2TiO3: 1.85758
Optimal breeder width: 16.17 cm
Optimal lithium enrichment: 34.00 %

Mean TBR: 1.66022
Median TBR: 1.80174
