### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
     22.22 |          48.57 |  1.80453 |    0.01130
     22.22 |          55.00 |  1.79833 |    0.01071
     22.22 |          61.43 |  1.79885 |    0.01076
     22.22 |          67.86 |  1.79921 |    0.01011
     22.22 |          74.29 |  1.79681 |    0.01032
     22.22 |          80.71 |  1.79799 |    0.01088
     22.22 |          87.14 |  1.79365 |    0.01056
     22.22 |          93.57 |  1.79386 |    0.00994
     22.22 |         100.00 |  1.79378 |    0.01053
     25.00 |          10.00 |  1.68381 |    0.01025
     25.00 |          16.43 |  1.67863 |    0.01028
     25.00 |          22.86 |  1.67612 |    0.01007
     25.00 |          29.29 |  1.68464 |    0.01041
     25.00 |          35.71 |  1.68774 |    0.01023
     25.00 |          42.14 |  1.68330 |    0.00905
     25.00 |          48.57 |  1.67817 |    0.00921
     25.00 |          55.00 |  1.68626 |    0.01006
     25.00 |          61.43 |  1.68235 |    0.01081
     25.00 |          67.86 |  1.68527 |    0.01062
     25.00 |          74.29 |  1.68512 |    0.01066
     25.00 |          80.71 |  1.68579 |    0.01069
     25.00 |          87.14 |  1.68203 |    0.01040
     25.00 |          93.57 |  1.68053 |    0.01076
     25.00 |         100.00 |  1.67464 |    0.01074

### Refined Search Data (local refinement) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
     11.39 |          10.00 |  1.90694 |    0.00947
     11.39 |          11.00 |  1.90515 |    0.00922
     11.39 |          12.00 |  1.90480 |    0.00954
     11.39 |          13.00 |  1.89952 |    0.00889
     11.39 |          14.00 |  1.89896 |    0.00870
     12.39 |          10.00 |  1.90591 |    0.00932
     12.39 |          11.00 |  1.91034 |    0.00897
     12.39 |          12.00 |  1.91014 |    0.00837
     12.39 |          13.00 |  1.90944 |    0.00841
     12.39 |          14.00 |  1.91249 |    0.00940
     13.39 |          10.00 |  1.92947 |    0.01157
     13.39 |          11.00 |  1.92997 |    0.01094
     13.39 |          12.00 |  1.93081 |    0.01102
     13.39 |          13.00 |  1.93131 |    0.01089
     13.39 |          14.00 |  1.93014 |    0.01080
     14.39 |          10.00 |  1.92990 |    0.01134
     14.39 |          11.00 |  1.93183 |    0.01145
     14.39 |          12.00 |  1.93487 |    0.01175
     14.39 |          13.00 |  1.93431 |    0.01219
     14.39 |          14.00 |  1.93539 |    0.01171
     15.39 |          10.00 |  1.93518 |    0.01053
     15.39 |          11.00 |  1.94133 |    0.01019
     15.39 |          12.00 |  1.94327 |    0.01057
     15.39 |          13.00 |  1.93776 |    0.01153
     15.39 |          14.00 |  1.93463 |    0.01158

### TBR Summary Statistics:
Maximum TBR for FLiBe: 1.94327
Optimal breeder width: 15.39 cm
Optimal lithium enrichment: 12.00 %

Mean TBR: 1.72168
Median TBR: 1.80413
